eligibility_base,row_label,eligibility_indian,eligibility_international,relaxation,remarks,equivalent_qualification
Lateral Entry,b pharm lateral entry,"60% in D.Pharm. (2 yrs after 10+2)+ LPUNEST*
(Diploma should be Recognised By PCI)

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.","50% in D.Pharm. (2 yrs after 10+2) and ELR 
(Diploma should be Recognised By PCI)",,,Diploma (Mechanical )3 Years
Lateral Entry,bpt lateral entry,"60% Marks in 
(3 Yr Dip (Physiotherapy) after 10th) or
(1 or 2 yrs Dip (Physiotherapy) after 10+2(Physics, Chemistry & Biology))","50% and ELR  in
(3 Yr Dip (Physiotherapy) after 10th )
OR
(1 or 2 yrs Dip (Physiotherapy) after 10+2(Physics, Chemistry & Biology) )",,,Diploma (Mechanical )3 Years
Lateral Entry,medical laboratory sciences,"60% Marks in 
(3 Yr Dip (Physiotherapy) after 10th) or
(1 or 2 yrs Dip (Physiotherapy) after 10+2(Physics, Chemistry & Biology))","50% and ELR  in
(3 Yr Dip (Physiotherapy) after 10th )
OR
(1 or 2 yrs Dip (Physiotherapy) after 10+2(Physics, Chemistry & Biology) )",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc mlt lateral entry,"60% Marks in 
[(3 Yr Dip (MLT) after 10th) or
(3 Yr Dip (Nursing) after 10th) or (1 yr Dip (MLT) after 10+2(Med/NM)) or
(2 yr Dip (Pharmacy) after 10+2) ]","50% and ELR  in 
(3 Yr Dip (MLT) after 10th )
OR
(3 Yr Dip (Nursing) after 10th) 
OR
(1 yr Dip (MLT) after 10+2(Med/NM)) 
OR
(2 yr Dip (Pharmacy) after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc optometry lateral entry,"60% marks in (2 yr Diploma in Optometry/ vision technician/ophthalmic assistant after 10 +2) with  
60% marks in physics, chemistry and biology/mathematics","50% marks in (2yr Diploma in Optometry/ vision technician/ophthalmic assistant after 10 +2) with 
50% marks in physics, chemistry and biology/mathematics and ELR",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc anaesthesia and operation theatre technology lateral entry,"60% marks in (2 yr Diploma in Operation Theatre Technology after 10 +2) with
60% marks in physics, chemistry and biology/mathematics","50% marks in (2yr Diploma in Operation Theatre Technology after 10 +2) with
50% marks in physics, chemistry and biology/mathematics and ELR",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc medical radiology and imaging technology lateral entry,"60% marks in (2 Yr Diploma in Medical Imaging Technology/Radiography after 10+2 with Physics, Chemistry and Biology)","50% marks in (2 Yr Diploma in Medical Imaging Technology/Radiography after 10+2 with Physics, Chemistry and Biology) and ELR",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc cardiovascular technology lateral entry,60% maks in (2 Yr Diploma in Cardiac Care Technology after 10+2),50% maks in (2 Yr Diploma in Cardiac Care Technology after 10+2) and ELR,,,Diploma (Mechanical )3 Years
After Graduation,mba 2yrs,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba financial markets,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba supply chain and logistics,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba international business,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba hospital and healthcare management,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba digital and social media marketing,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba tourism aviation and hospitality,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba fintech and artificial intelligence,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and  ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.

* Not applicable for Tie-up programmes",,
After Graduation,mba 1 1 with international credit transfer option,"55% + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay + Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay + Interview","50% and ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and ELR
o
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,,
After Graduation,mba business analytics,"55% in B.Tech./  BE (any discipline)/ B.Sc (NM)/  B.Sc (Maths)/  BA (Economics/Math/ Statistics)/  B.Com. /  BBA / BCA   + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI)  + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay +  Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay +  Interview","50% in B.Tech / BE (any discipline)/ B.Sc (NM)/  B.Sc (Maths)/ BA (Economics/Math/ Statistics)/ B.Com. / BBA / BCA and ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and  ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/ Wards of Kashmiri Migrants

* Not applicable for Tie-up programmes",,
After Graduation,mba data science and artificial intelligence,"55% in B.Tech./  BE (any discipline)/ B.Sc (NM)/  B.Sc (Maths)/  BA (Economics/Math/ Statistics)/  B.Com. /  BBA / BCA   + LPUNEST/CAT/MAT/XAT/CMAT/ CUET + Video Essay + Interview
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI)  + Video Essay + Interview
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) + Video Essay +  Interview
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) + Video Essay +  Interview","50% in B.Tech / BE (any discipline)/ B.Sc (NM)/  B.Sc (Maths)/ BA (Economics/Math/ Statistics)/ B.Com. / BBA / BCA and ELR
or
Completed Company Secretary (CS) from Institute of Company Secretaries of India (ICSI) and ELR
or
Completed  Chartered Accountancy (CA) from Institute of Chartered Accountants of India (ICAI) and  ELR
or
Completed Cost & Management Accountancy (CMA) from Institute of Cost Accountants of India (ICAI) and ELR","5% to North East states and Sikkim candidates / Defence Personnel and their Dependents*/ Wards of Kashmiri Migrants

* Not applicable for Tie-up programmes",,
After Graduation,m com,50% (Bachelor's degree with Commerce/ Management/ Economics/ Accounts),"50% (Bachelor's degree and 
Commerce / Management / Economics / Accounts)  and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,
After Graduation,m sc economics,50% (Any Stream ),50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,,
After Graduation,m a economics,50% (Any Stream ),50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,,
After Graduation,ll b,50% (Any Stream ),50% (Any Stream ) and ELR,"1. ) 5% to SC/ST and  3% to OBC
2.)  5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants
Note:- In case of both only one relaxation is to be given",,
After Graduation,ll m,50% in LL.B.,50% in LL.B.+  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,interior and furniture design,50% in LL.B.,50% in LL.B.+  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m sc interior and furniture design,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m design interior and furniture,50%  in  4 Years Bachelor Degree with Design/ Fine Arts/ Applied Arts or B.Arch. or B.Plan. or B.Construction Management or B.Tech. (Any Stream)] or allied fields}],50%   in  4 Years Bachelor Degree with Design/ Fine Arts/ Applied Arts or B.Arch. or B.Plan. or B.Construction Management or B.Tech. (Any Stream)] or allied fields}] and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,interaction design ui ux,50%  in  4 Years Bachelor Degree with Design/ Fine Arts/ Applied Arts or B.Arch. or B.Plan. or B.Construction Management or B.Tech. (Any Stream)] or allied fields}],50%   in  4 Years Bachelor Degree with Design/ Fine Arts/ Applied Arts or B.Arch. or B.Plan. or B.Construction Management or B.Tech. (Any Stream)] or allied fields}] and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m sc ui ux design,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,fashion design,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m sc fashion design,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,master of fashion management mfm,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,multimedia and animation,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m sc animation and vfx design,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,master of fine arts mfa,50% in  BFA or any 4 Year Graduation (and subject of Fine Arts like drawing or  Painting or equivalent),50% in  BFA or any 4 Year Graduation (and subject of Fine Arts like drawing or  Painting or equivalent) and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,journalism and film production,50% in  BFA or any 4 Year Graduation (and subject of Fine Arts like drawing or  Painting or equivalent),50% in  BFA or any 4 Year Graduation (and subject of Fine Arts like drawing or  Painting or equivalent) and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m a journalism and mass communication,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m sc film and tv production,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,performing arts,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,master of performing arts mpa,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m a psychology,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,
After Graduation,m a applied psychology,"50% in Graduation(with Pyschology) 
OR
50% in Graduation any discipline with Psychology as a one of  Subject","50% in Graduation(with Pyschology) and ELR
OR
50% in  Graduation any discipline with Psychology as a one of  Subject and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,MBBS
After Graduation,m a counselling psychology,"50% in Graduation(with Pyschology) 
OR
50% in Graduation any discipline with Psychology as a one of  Subject","50% in Graduation(with Pyschology) and ELR
OR
50% in  Graduation any discipline with Psychology as a one of  Subject and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,MBBS
After Graduation,m sc forensic psychology,50% in Graduation(with Pyschology/Science Subjects),50% in Graduation(with Pyschology/Sicence Subjects) and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,Test structure for Indian and International applicants will be different,MBBS
After Graduation,master in clinical psychology m clin psy,"55% in 4 Years Bachelor Degree with Psychology in BA/ B.Sc + LPUNEST + Interview
Or
3 years Graduation in Psychology must have completed a bridge course or  first year of Masters in Psychology with 55% + LPUNEST + Interview","55% in 4 Years Bachelor Degree with Psychology in BA/ B.Sc + LPUIST + Interview and ELR
Or
3 years Graduation in Psychology must have complete a bridge course or  first year of Masters in Psychology with 55% + LPUIST + Interview and ELR",1. ) 5% to SC/ST,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m a history,Pass,50% and ELR,1. ) 5% to SC/ST,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m a sociology,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,master of social work msw,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m a political science,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,governance and public policy,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m sc public policy,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m sc geography,0.5,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,english and foreign languages,0.5,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,m a english,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,library sciences,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,bachelors of library and information sciences b lib i sc,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,masters of library and information sciences m lib i sc,50% in B.Lib.,50%  in B.Lib. wth ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,The weightage of entrance test shall be 70% whereas the interview will be of 30%,MBBS
After Graduation,b ed,"50% marks either in the Bachelor's Degree/ Master's
Degree in Sciences/Social Sciences/ Humanity/Commerce 
 OR
55% in B.Tech/B.E with
specialization in Science and Mathematics

OR                                                                                                                              
Any Other Qualification equivalent thereto

(Candidate must have studied the  subject of the subject combination for at least three years at Bachelor’s Level / 2 Years at Master’s Level)","50% marks either in the Bachelor's Degree/ Master's
Degree in Sciences/Social Sciences/ Humanity/Commerce and ELR
 OR
55% in B.Tech/B.E and
specialization in Science and Mathematics and ELR
OR                                                                                                                              
Any Other Qualification equivalent thereto 
(Candidate must have studied the  subject of the subject combination for at least three years at Bachelor’s Level / 2 Years at Master’s Level)",5% to SC/ST/BC,5% relaxation  to NE and Sikkim states candidates  is not  applicable for B.ed,MBBS
After Graduation,m a education,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,5% relaxation  to NE and Sikkim states candidates  is not  applicable for B.ed,MBBS
After Graduation,physical education,0.5,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,5% relaxation  to NE and Sikkim states candidates  is not  applicable for B.ed,MBBS
After Graduation,b p ed,"50% marks with Bachelor's degree in any discipline  and having at least participation in the InterCollege/Inter-Zonal/ District/ School competition in sports and games as recognized by the AIU/IOA/SGFI/Govt. of India + PET
 Or
45% marks with Bachelor's degree in physical education    + PET
 Or
45% marks withBachelor's degree in any discipline  and studied physical education as compulsory / elective subject   + PET
 Or
45% marks with  Bachelor’s degree with  and having participated in National/ Inter University/ Statecompetitions or secured 1st, 2nd or 3rd position in Inter College/ Inter-Zonal/ District/ School competition in sports and games as recognized by the AIU/IOA/SGFI/Govt. of India  + PET
 Or
 Bachelor’s degree with participation in international competitions or secured 1st, 2nd or 3rd position in National/ Inter-University competition in sports and games as recognized by respective federations/AIU/IOA/SGFI/Govt. of India  + PET
 Or
45% marks with Graduation  and at least three years of teaching experience (for deputed in-service candidates i.e. trained physical education teachers/ coaches)    + PET
Important Note:-
1. Medical  Fitness Certificate (as per university prescribed format) is Compulsory
2. 5% relaxation for SC/ BC  [Any one of the relaxations shall be applicable to candidates having achievements in sports","50% marks and Bachelor's degree in any discipline  and having at least participation in the InterCollege/Inter-Zonal/ District/ School competition in sports and games as recognized by the AIU/IOA/SGFI/Govt. of India  and ELR + PET
 Or
45% marks and Bachelor's degree in physical education  and ELR + PET
 Or
45% marks andBachelor's degree in any discipline  and studied physical education as compulsory / elective subject and ELR  + PET
 Or
45% marks and  Bachelor’s degree and  and having participated in National/ Inter University/ Statecompetitions or secured 1st, 2nd or 3rd position in Inter College/ Inter-Zonal/ District/ School competition in sports and games as recognized by the AIU/IOA/SGFI/Govt. of India  and ELR + PET
 Or
 Bachelor’s degree and participation in international competitions or secured 1st, 2nd or 3rd position in National/ Inter-University competition in sports and games as recognized by respective federations/AIU/IOA/SGFI/Govt. of India  and ELR  + PET
 Or
45% marks and Graduation  and at least three years of teaching experience (for deputed in-service candidates i.e. trained physical education teachers/ coaches)   and ELR  + PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory",5% to SC/ST/OBC (Any one of the relaxations shall be applicable to candidates having achievements in sports),"1.    5% relaxation  to NE and Sikkim states candidates  is not  applicable for B.P.Ed. 
2.Medical  Fitness Certificate Compulsory",MBBS
After Graduation,m p ed,"50% Marks with Bachelor of Physical Education (B.P.Ed.) or equivalent  + PET
 OR
50% Marks with  Bachelor of Science (B.Sc.) in Health and Physical Education + PET

Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory","50% Marks and Bachelor of Physical Education (B.P.Ed.) or equivalent and ELR + PET
 OR
50% Marks and  Bachelor of Science (B.Sc.) in Health and Physical Education  and ELR + PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory",5% to SC/ST/OBC,"1.   5% relaxation  to NE and Sikkim states candidates  is not  applicable for M.P.Ed. 
2.Medical  Fitness Certificate Compulsory",MBBS
After Graduation,m a punjabi hindi,Pass,50% and ELR,5% to SC/ST/OBC,"1.   5% relaxation  to NE and Sikkim states candidates  is not  applicable for M.P.Ed. 
2.Medical  Fitness Certificate Compulsory",MBBS
After Graduation,m tech vlsi design,"55% (B.Tech. ECE/EEE/Electronics Engineering/  Electronics & Instrumentation/ Instrumentation and Control/ Instrumentation Engineering/ Telecommunication/ CSE/ IT/ Nanotechnology ) or M.Sc. (Physics with Electronics/  Material Science/  Nanotechnology/  Computer Science as specialisation)) + LPUNEST*/GATE/ CUET

*LPUNEST will be exempted if candidate scores 80% or more marks in the qualifying  exam.",50% (B.Tech. ECE/EEE/Electronics Engineering/  Electronics & Instrumentation/ Instrumentation and Control/ Instrumentation Engineering/ Telecommunication/ CSE/ IT/ Nanotechnology ) or M.Sc. (Physics with Electronics/  Material Science/  Nanotechnology/  Computer Science as specialisation)) and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,"1.   5% relaxation  to NE and Sikkim states candidates  is not  applicable for M.P.Ed. 
2.Medical  Fitness Certificate Compulsory",MBBS
After Graduation,m tech robotics and artificial intelligence,"55% (B.Tech. ECE/EEE/Electronics Engineering/  Electronics & Instrumentation/ Instrumentation and Control/ Instrumentation Engineering/ Telecommunication/ CSE/ IT/ Nanotechnology/ Mechatronics) or M.Sc. (Physics with Electronics/  Material Science/  Nanotechnology/  Computer Science as specialisation)) + LPUNEST*/GATE/ CUET

*LPUNEST will be exempted if candidate scores 80% or more marks in the qualifying  exam.",50% (B.Tech. ECE/EEE/Electronics Engineering/  Electronics & Instrumentation/ Instrumentation and Control/ Instrumentation Engineering/ Telecommunication/ CSE/ IT/ Nanotechnology/ Mechatronics ) or M.Sc. (Physics with Electronics/  Material Science/  Nanotechnology/  Computer Science as specialisation)) and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,"1.   5% relaxation  to NE and Sikkim states candidates  is not  applicable for M.P.Ed. 
2.Medical  Fitness Certificate Compulsory",MBBS
